Optimal HV: 17035431968
Iteration 118: HV = 5565303597.05, HVR = 0.33
Iteration 119: HV = 5565303597.05, HVR = 0.33
Iteration 120: HV = 5515742671.09, HVR = 0.32
Iteration 121: HV = 5556534875.52, HVR = 0.33
Iteration 122: HV = 5566147683.14, HVR = 0.33
Iteration 123: HV = 5603247733.09, HVR = 0.33
Iteration 124: HV = 5632464697.96, HVR = 0.33
Iteration 125: HV = 5663603574.40, HVR = 0.33
Iteration 126: HV = 5734724570.10, HVR = 0.34
Iteration 127: HV = 5747878813.03, HVR = 0.34
Iteration 128: HV = 5807068704.01, HVR = 0.34
Iteration 129: HV = 5812194569.40, HVR = 0.34
Iteration 130: HV = 5803442090.88, HVR = 0.34
Iteration 131: HV = 5560952116.89, HVR = 0.33
Iteration 132: HV = 5637372248.99, HVR = 0.33
Iteration 133: HV = 5651501093.15, HVR = 0.33
Iteration 134: HV = 5751313024.21, HVR = 0.34
Iteration 135: HV = 5746811426.38, HVR = 0.34
Iteration 136: HV = 5746811426.38, HVR = 0.34
Iteration 137: HV = 5773251890.26, HVR = 0.34
Iteration 138: HV = 5801213741.65, HVR = 0.34
Iteration 139: HV = 5801213741.65, HVR = 0.34
Iteration 140: HV = 5840136652.35, HVR = 0.34
Iteration 141: HV = 5838939409.66, HVR = 0.34
Iteration 142: HV = 5857772392.34, HVR = 0.34
Iteration 143: HV = 6051709044.78, HVR = 0.36
Iteration 144: HV = 6007863178.57, HVR = 0.35
Iteration 145: HV = 6011939531.91, HVR = 0.35
Iteration 146: HV = 6018454922.87, HVR = 0.35
Iteration 147: HV = 5993994913.71, HVR = 0.35
Iteration 148: HV = 5993994913.71, HVR = 0.35
Iteration 149: HV = 6064981407.50, HVR = 0.36
Iteration 150: HV = 6060609785.96, HVR = 0.36
Iteration 151: HV = 6185114168.79, HVR = 0.36
Iteration 152: HV = 6192505446.36, HVR = 0.36
Iteration 153: HV = 6200848288.09, HVR = 0.36
Iteration 154: HV = 6233173463.67, HVR = 0.37
Iteration 155: HV = 6233173463.67, HVR = 0.37
Iteration 156: HV = 6241225593.26, HVR = 0.37
Iteration 157: HV = 6233158899.52, HVR = 0.37
Iteration 158: HV = 6233158899.52, HVR = 0.37
Iteration 159: HV = 6248807582.57, HVR = 0.37
Iteration 160: HV = 6271749807.33, HVR = 0.37
Iteration 161: HV = 6276327283.46, HVR = 0.37
Iteration 162: HV = 6276327283.46, HVR = 0.37
Iteration 163: HV = 6292097812.26, HVR = 0.37
Iteration 164: HV = 6315085898.26, HVR = 0.37
Iteration 165: HV = 6319364747.03, HVR = 0.37
Iteration 166: HV = 6310836202.52, HVR = 0.37
Iteration 167: HV = 6340690718.55, HVR = 0.37
Iteration 168: HV = 6362706481.47, HVR = 0.37
Iteration 169: HV = 6377265368.57, HVR = 0.37
Iteration 170: HV = 6301272675.21, HVR = 0.37
Iteration 171: HV = 6301272675.21, HVR = 0.37
Iteration 172: HV = 6312047284.36, HVR = 0.37
Iteration 173: HV = 6314267443.41, HVR = 0.37
Iteration 174: HV = 6350999838.00, HVR = 0.37
Iteration 175: HV = 6578429304.62, HVR = 0.39
Iteration 176: HV = 6620479219.67, HVR = 0.39
Iteration 177: HV = 6620479219.67, HVR = 0.39
Iteration 178: HV = 6620479219.67, HVR = 0.39
Iteration 179: HV = 6603267969.12, HVR = 0.39
Iteration 180: HV = 6598729116.80, HVR = 0.39
Iteration 181: HV = 6598729116.80, HVR = 0.39
Iteration 182: HV = 6598729116.80, HVR = 0.39
Iteration 183: HV = 6544730422.45, HVR = 0.38
Iteration 184: HV = 6544730422.45, HVR = 0.38
Iteration 185: HV = 6544730422.45, HVR = 0.38
Iteration 186: HV = 6560427919.14, HVR = 0.39
Iteration 187: HV = 6568651906.84, HVR = 0.39
Iteration 188: HV = 6616919595.90, HVR = 0.39
Iteration 189: HV = 6624979743.47, HVR = 0.39
Iteration 190: HV = 6624979743.47, HVR = 0.39
Iteration 191: HV = 6635495537.40, HVR = 0.39
